Campaign Name,Start Date,End Date,Budget,ROI,Type,Target Audience,Channel,Conversion Rate,Revenue,Net Profit,Start Year,Start Month,Start Quarter,ROI Category,Conversion Category,Cost Per Conversion,High Budget Flag,High Roi Flag
Sharable Object-Oriented Algorithm,2023-01-26,2023-11-28,13686.9,20.8,Podcast,B2B,Referral,0.68,298349.71,284662.81,2023,1,1,High,Medium,0.07,0,1
Progressive Systematic Architecture,2022-08-15,2024-01-11,7306.71,73.04,Webinar,B2B,Paid,0.97,541005.28,533698.57,2022,8,3,High,High,0.01,0,1
Decentralized Bi-Directional Forecast,2023-02-03,2023-11-18,96168.8,0.44,Email,B2C,Promotion,0.26,138002.71,41833.91,2023,2,1,Low,Low,2.68,1,0
Multi-Lateral Coherent Hardware,2023-03-20,2023-12-20,80398.7,5.92,Social Media,B2B,Paid,0.77,556040.51,475641.81,2023,3,1,High,Medium,0.19,1,1
Digitized Fresh-Thinking Toolset,2023-07-23,2024-03-20,7171.11,33.09,Podcast,B2C,Referral,0.58,244491.62,237320.51,2023,7,3,High,Medium,0.05,0,1
Persistent Fresh-Thinking Parallelism,2022-09-26,2024-07-24,40458.71,17.51,Email,B2B,Organic,0.6,748950.16,708491.45,2022,9,3,High,Medium,0.09,0,1
Up-Sized Discrete Superstructure,2023-04-08,2024-02-16,85035.31,5.87,Webinar,B2C,Referral,0.69,583929.45,498894.14,2023,4,2,High,Medium,0.21,1,1
Implemented Next Generation Productivity,2022-08-16,2023-12-12,28881.52,29.74,Email,B2B,Referral,0.74,887826.15,858944.63,2022,8,3,High,Medium,0.04,0,1
Persistent Radical Approach,2022-10-23,2023-08-15,99891.35,-0.92,Email,B2C,Promotion,0.91,8272.5,-91618.85,2022,10,4,Negative,High,13.27,1,0
Robust Dynamic Circuit,2022-10-04,2024-04-29,35936.7,15.02,Webinar,B2B,Referral,0.13,575711.5,539774.8,2022,10,4,High,Very Low,0.48,0,1
Assimilated Cohesive Contingency,2023-03-10,2024-07-22,52088.32,0.65,Podcast,B2B,Referral,0.46,85934.39,33846.07,2023,3,1,Medium,Low,1.32,1,0
Distributed Heuristic Extranet,2022-08-27,2023-12-31,19258.46,42.03,Podcast,B2C,Promotion,0.22,828613.75,809355.29,2022,8,3,High,Low,0.11,0,1
Public-Key Optimizing Open Architecture,2023-04-01,2023-11-13,35095.84,3.39,Social Media,B2C,Paid,0.26,153946.14,118850.3,2023,4,2,High,Low,0.88,0,1
Self-Enabling Secondary Methodology,2022-09-22,2024-04-16,89591.74,6.9,Podcast,B2C,Promotion,0.16,707937.27,618345.53,2022,9,3,High,Very Low,0.79,1,1
Multi-Channeled Intermediate Project,2023-07-10,2024-06-11,30866.33,14.78,Webinar,B2C,Paid,0.51,487045.64,456179.31,2023,7,3,High,Medium,0.12,0,1
Re-Engineered 24/7 Benchmark,2022-10-07,2023-08-02,60761.56,8.23,Podcast,B2C,Paid,0.46,560912.6,500151.04,2022,10,4,High,Low,0.24,1,1
Automated 6Thgeneration Solution,2023-04-10,2023-08-27,82351.52,4.71,Podcast,B2C,Organic,0.27,470489.22,388137.7,2023,4,2,High,Low,0.65,1,1
Persevering Asymmetric Orchestration,2022-10-23,2024-03-12,68860.82,4.24,Webinar,B2C,Organic,0.82,360686.83,291826.01,2022,10,4,High,High,0.23,1,1
Enhanced Web-Enabled Knowledge User,2023-04-24,2024-05-25,71941.12,10.03,Webinar,B2C,Referral,0.67,793615.75,721674.63,2023,4,2,High,Medium,0.14,1,1
Multi-Tiered Fresh-Thinking Monitoring,2023-01-31,2024-01-23,92487.68,4.84,Social Media,B2C,Organic,0.48,539681.9,447194.22,2023,1,1,High,Low,0.36,1,1
Cloned Background Ability,2023-05-08,2023-08-05,6690.98,61.67,Podcast,B2C,Referral,0.6,419310.48,412619.5,2023,5,2,High,Medium,0.03,0,1
Up-Sized Bifurcated Budgetary Management,2023-06-21,2024-03-29,65932.3,12.17,Email,B2B,Paid,0.64,868615.57,802683.27,2023,6,2,High,Medium,0.12,1,1
Virtual Methodical Projection,2022-08-28,2023-08-03,2939.44,175.19,Podcast,B2B,Referral,0.34,517886.3,514946.86,2022,8,3,High,Low,0.02,0,1
Configurable 6Thgeneration Approach,2023-07-20,2023-08-05,89898.65,9.46,Social Media,B2C,Paid,0.94,940644.5,850745.85,2023,7,3,High,High,0.1,1,1
Networked Zero Administration Hardware,2023-06-18,2024-01-12,79330.1,11.52,Webinar,B2C,Promotion,0.6,993317.73,913987.63,2023,6,2,High,Medium,0.13,1,1
Integrated Dedicated Solution,2023-04-25,2023-09-26,49871.16,14.11,Webinar,B2B,Promotion,0.13,753551.91,703680.75,2023,4,2,High,Very Low,0.51,1,1
Managed Coherent Local Area Network,2022-08-22,2024-07-09,86898.8,6.22,Email,B2B,Paid,0.63,627464.79,540565.99,2022,8,3,High,Medium,0.22,1,1
Assimilated Bifurcated Policy,2023-07-12,2024-06-07,88219.78,3.37,Podcast,B2C,Organic,0.9,385119.98,296900.2,2023,7,3,High,High,0.25,1,1
Intuitive Secondary Initiative,2023-07-21,2023-10-02,40691.9,21.72,Email,B2C,Organic,0.5,924409.28,883717.38,2023,7,3,High,Low,0.09,0,1
Reverse-Engineered Bandwidth-Monitored Encoding,2023-04-13,2023-12-22,72683.1,9.71,Social Media,B2B,Paid,0.71,778626.74,705943.64,2023,4,2,High,Medium,0.13,1,1
Adaptive 24/7 Open Architecture,2023-04-28,2024-04-26,11646.16,0.14,Email,B2B,Organic,0.81,13324.2,1678.04,2023,4,2,Low,High,1.08,0,0
Grass-Roots Holistic Migration,2022-08-26,2023-12-23,89917.95,7.19,Email,B2B,Promotion,0.24,736828.76,646910.81,2022,8,3,High,Low,0.51,1,1
Face-To-Face Background Methodology,2022-11-26,2024-04-19,78099.81,5.85,Webinar,B2C,Organic,0.35,535075.58,456975.77,2022,11,4,High,Low,0.42,1,1
Visionary Neutral Attitude,2023-07-02,2024-07-25,35717.61,3.09,Podcast,B2C,Organic,0.1,146092.95,110375.34,2023,7,3,High,Very Low,2.44,0,1
Grass-Roots Tertiary Adapter,2023-02-21,2024-03-25,74243.84,6.58,Webinar,B2B,Promotion,0.95,562833.1,488589.26,2023,2,1,High,High,0.14,1,1
Function-Based Dynamic Focus Group,2022-12-17,2024-02-08,25475.7,33.13,Webinar,B2C,Paid,0.43,869402.93,843927.23,2022,12,4,High,Low,0.07,0,1
Multi-Tiered Stable Installation,2023-03-23,2024-04-15,28552.53,15.54,Webinar,B2C,Paid,0.2,472180.81,443628.28,2023,3,1,High,Very Low,0.3,0,1
Proactive Explicit Migration,2023-07-06,2023-08-06,38420.97,20.69,Social Media,B2C,Organic,0.58,833349.14,794928.17,2023,7,3,High,Medium,0.08,0,1
Reactive Eco-Centric Synergy,2023-07-03,2024-04-23,39225.15,2.25,Email,B2B,Paid,0.84,127445.11,88219.96,2023,7,3,High,High,0.37,0,1
Automated Dedicated Budgetary Management,2023-08-01,2024-04-06,1436.99,612.62,Podcast,B2B,Organic,0.87,881768.44,880331.45,2023,8,3,High,High,0.0,0,1
Multi-Channeled Coherent Moderator,2022-08-10,2024-03-18,11007.95,60.79,Podcast,B2C,Referral,0.81,680150.2,669142.25,2022,8,3,High,High,0.02,0,1
Synergized Bottom-Line Paradigm,2022-12-06,2024-07-09,94432.87,4.56,Social Media,B2C,Organic,0.2,524902.66,430469.79,2022,12,4,High,Very Low,0.9,1,1
Phased Attitude-Oriented Standardization,2023-07-03,2024-05-12,87100.53,10.02,Podcast,B2B,Referral,0.32,959625.18,872524.65,2023,7,3,High,Low,0.28,1,1
Open-Architected Bottom-Line Algorithm,2022-11-11,2023-11-15,81473.25,4.79,Webinar,B2C,Paid,0.37,471361.8,389888.55,2022,11,4,High,Low,0.47,1,1
Open-Source Homogeneous Product,2023-05-31,2023-09-30,89921.79,3.71,Webinar,B2B,Organic,0.51,423523.6,333601.81,2023,5,2,High,Medium,0.42,1,1
Reduced Tertiary Implementation,2022-08-10,2023-10-22,93538.7,9.15,Email,B2B,Organic,0.4,949355.73,855817.03,2022,8,3,High,Low,0.25,1,1
Proactive Incremental Framework,2022-12-16,2024-05-21,96760.38,2.65,Email,B2B,Referral,0.33,353251.17,256490.79,2022,12,4,High,Low,0.83,1,1
Quality-Focused Hybrid Policy,2023-01-28,2024-05-10,90020.46,7.51,Social Media,B2C,Promotion,0.9,766391.61,676371.15,2023,1,1,High,High,0.13,1,1
Progressive 24Hour Utilization,2022-11-01,2024-03-14,14495.84,6.29,Podcast,B2C,Referral,0.56,105658.26,91162.42,2022,11,4,High,Medium,0.24,0,1
Organized Coherent Utilization,2022-09-12,2024-05-18,7889.64,19.3,Email,B2C,Referral,0.56,160161.3,152271.66,2022,9,3,High,Medium,0.09,0,1
Versatile User-Facing Benchmark,2022-09-19,2024-05-21,53658.92,13.19,Social Media,B2B,Promotion,0.0,761292.13,707633.21,2022,9,3,High,Very Low,,1,1
Configurable Client-Driven Migration,2022-12-09,2024-03-10,21172.32,44.94,Social Media,B2C,Referral,0.32,972694.3,951521.98,2022,12,4,High,Low,0.07,0,1
Public-Key Fresh-Thinking Intranet,2023-07-23,2024-04-01,88296.95,9.51,Webinar,B2C,Referral,0.13,928231.8,839934.85,2023,7,3,High,Very Low,0.73,1,1
Self-Enabling Bandwidth-Monitored Array,2022-09-15,2024-04-05,42970.96,7.04,Webinar,B2C,Referral,0.68,345521.31,302550.35,2022,9,3,High,Medium,0.18,0,1
Profound Disintermediate Analyzer,2022-12-16,2023-11-09,49418.2,17.56,Social Media,B2B,Paid,0.83,917197.39,867779.19,2022,12,4,High,High,0.06,1,1
Multi-Tiered Multi-Tasking Support,2022-10-23,2023-12-08,3809.12,149.66,Webinar,B2C,Referral,0.2,573889.99,570080.87,2022,10,4,High,Very Low,0.03,0,1
Triple-Buffered Next Generation Moderator,2023-07-22,2024-02-17,96955.19,5.24,Webinar,B2B,Promotion,0.51,605117.55,508162.36,2023,7,3,High,Medium,0.31,1,1
Synergistic Needs-Based Framework,2022-10-21,2024-04-27,22787.98,40.26,Webinar,B2C,Organic,0.29,940147.71,917359.73,2022,10,4,High,Low,0.08,0,1
Horizontal National Alliance,2022-12-20,2023-11-10,59550.27,4.8,Social Media,B2C,Referral,0.42,345405.0,285854.73,2022,12,4,High,Low,0.41,1,1
Team-Oriented Mobile Contingency,2023-03-29,2024-01-25,55219.7,10.66,Podcast,B2B,Promotion,0.64,643859.1,588639.4,2023,3,1,High,Medium,0.13,1,1
Persistent Grid-Enabled Contingency,2022-10-14,2024-02-06,38978.72,17.75,Podcast,B2C,Organic,0.25,730692.49,691713.77,2022,10,4,High,Low,0.21,0,1
Reactive Real-Time Array,2023-06-21,2024-04-13,77106.38,1.43,Podcast,B2C,Promotion,0.39,187751.15,110644.77,2023,6,2,High,Low,1.05,1,1
Programmable Asynchronous Encryption,2023-01-17,2023-12-22,16485.72,-0.41,Podcast,B2B,Referral,0.41,9714.17,-6771.55,2023,1,1,Negative,Low,4.14,0,0
Object-Based Web-Enabled Intranet,2023-06-01,2023-08-11,32297.26,27.49,Webinar,B2B,Promotion,0.17,919995.28,887698.02,2023,6,2,High,Very Low,0.21,0,1
Universal Exuding Artificial Intelligence,2023-04-25,2024-07-24,80372.5,2.24,Webinar,B2B,Paid,0.3,260204.2,179831.7,2023,4,2,High,Low,1.03,1,1
Cross-Group Bandwidth-Monitored Time-Frame,2022-11-30,2024-03-18,51871.97,6.52,Email,B2B,Paid,0.55,389969.52,338097.55,2022,11,4,High,Medium,0.24,1,1
Customer-Focused Web-Enabled Framework,2023-01-04,2023-12-30,3162.85,196.63,Social Media,B2B,Organic,0.71,625063.38,621900.53,2023,1,1,High,Medium,0.01,0,1
Synergized Local Emulation,2023-04-20,2023-12-10,1793.79,244.92,Webinar,B2B,Promotion,0.3,441129.4,439335.61,2023,4,2,High,Low,0.01,0,1
Multi-Tiered Object-Oriented Knowledge User,2023-04-22,2023-10-28,52804.87,15.67,Email,B2C,Paid,0.25,880106.4,827301.53,2023,4,2,High,Low,0.24,1,1
Multi-Lateral Mission-Critical Productivity,2023-04-21,2023-09-12,71940.27,9.02,Social Media,B2B,Referral,0.73,720494.61,648554.34,2023,4,2,High,Medium,0.14,1,1
Re-Contextualized Reciprocal Secured Line,2023-03-19,2023-10-09,83645.54,6.27,Social Media,B2B,Referral,0.27,607963.82,524318.28,2023,3,1,High,Low,0.51,1,1
Compatible Actuating Utilization,2022-09-29,2024-03-14,40895.28,6.89,Webinar,B2C,Promotion,0.53,322795.47,281900.19,2022,9,3,High,Medium,0.24,0,1
Compatible Full-Range Open System,2023-05-29,2024-06-04,33898.88,7.86,Social Media,B2B,Referral,0.58,300424.53,266525.65,2023,5,2,High,Medium,0.19,0,1
Switchable Incremental Collaboration,2023-03-28,2023-11-28,46310.28,9.5,Webinar,B2B,Paid,0.53,486051.65,439741.37,2023,3,1,High,Medium,0.18,0,1
Monitored Maximized Project,2023-05-07,2024-05-17,32095.6,12.78,Email,B2B,Promotion,0.37,442320.4,410224.8,2023,5,2,High,Low,0.2,0,1
Compatible Grid-Enabled Info-Mediaries,2023-01-27,2023-11-21,96019.69,6.16,Webinar,B2C,Organic,0.57,687313.27,591293.58,2023,1,1,High,Medium,0.25,1,1
Cloned Foreground Portal,2022-09-14,2023-08-17,13908.21,57.71,Podcast,B2B,Promotion,0.88,816603.99,802695.78,2022,9,3,High,High,0.02,0,1
Devolved Homogeneous Projection,2023-04-25,2024-05-24,4833.32,177.85,Webinar,B2C,Promotion,0.22,864437.87,859604.55,2023,4,2,High,Low,0.03,0,1
Profound Non-Volatile Complexity,2022-10-03,2023-08-18,28827.53,24.46,Social Media,B2C,Paid,0.94,734015.4,705187.87,2022,10,4,High,High,0.04,0,1
Focused Holistic Collaboration,2023-01-31,2023-11-02,89440.32,9.42,Email,B2C,Promotion,0.85,931725.82,842285.5,2023,1,1,High,High,0.11,1,1
Optimized Zero Administration Task-Force,2022-12-31,2024-01-14,31564.29,28.5,Podcast,B2B,Referral,0.83,931183.22,899618.93,2022,12,4,High,High,0.04,0,1
Customizable Zero Administration Application,2022-08-27,2024-01-01,86492.2,0.42,Podcast,B2B,Paid,0.23,122398.7,35906.5,2022,8,3,Low,Low,3.07,1,0
Balanced Multi-Tasking Adapter,2023-07-13,2024-06-23,13945.61,55.99,Email,B2B,Promotion,0.57,794815.89,780870.28,2023,7,3,High,Medium,0.03,0,1
Ameliorated Grid-Enabled Capability,2023-01-19,2023-10-02,13105.34,37.29,Social Media,B2B,Paid,0.6,501764.55,488659.21,2023,1,1,High,Medium,0.04,0,1
Monitored Full-Range Matrix,2022-09-02,2023-10-11,27771.85,23.25,Social Media,B2B,Referral,0.58,673575.17,645803.32,2022,9,3,High,Medium,0.07,0,1
Multi-Tiered Empowering Adapter,2023-02-24,2023-09-29,30544.22,0.32,Podcast,B2B,Organic,0.47,40247.47,9703.25,2023,2,1,Low,Low,1.61,0,0
Re-Contextualized Mission-Critical Help-Desk,2023-03-28,2023-11-22,35286.84,4.53,Webinar,B2B,Paid,0.45,195049.24,159762.4,2023,3,1,High,Low,0.4,0,1
Face-To-Face Foreground Service-Desk,2023-03-15,2024-05-07,23254.87,34.15,Social Media,B2C,Promotion,0.59,817356.61,794101.74,2023,3,1,High,Medium,0.05,0,1
Re-Contextualized Solution-Oriented Circuit,2022-08-25,2023-12-04,29101.58,26.44,Email,B2C,Referral,0.57,798538.44,769436.86,2022,8,3,High,Medium,0.06,0,1
Managed Didactic System Engine,2023-07-14,2024-07-18,31358.99,11.08,Social Media,B2C,Referral,0.86,378814.53,347455.54,2023,7,3,High,High,0.1,0,1
Expanded 4Thgeneration Groupware,2023-04-02,2023-08-23,51725.95,11.64,Email,B2B,Paid,0.72,654019.7,602293.75,2023,4,2,High,Medium,0.11,1,1
Total Well-Modulated Knowledge User,2022-08-22,2023-10-19,28468.75,4.32,Webinar,B2C,Organic,0.11,151441.9,122973.15,2022,8,3,High,Very Low,1.71,0,1
Polarized High-Level Ability,2022-09-20,2024-03-22,8627.43,94.39,Email,B2B,Promotion,0.75,823000.43,814373.0,2022,9,3,High,Medium,0.01,0,1
Reduced High-Level Methodology,2023-04-12,2024-02-27,92072.41,-0.9,Email,B2B,Organic,0.54,8811.92,-83260.49,2023,4,2,Negative,Medium,19.35,1,0
Robust Executive Migration,2023-01-29,2023-12-05,42804.51,14.2,Podcast,B2C,Organic,0.79,650574.93,607770.42,2023,1,1,High,Medium,0.08,0,1
Inverse Background Firmware,2022-09-08,2024-05-01,4270.96,6.24,Email,B2B,Promotion,0.8,30917.19,26646.23,2022,9,3,High,Medium,0.17,0,1
Vision-Oriented Client-Server Conglomeration,2022-08-30,2024-02-21,68514.74,0.8,Podcast,B2B,Organic,0.75,123066.22,54551.48,2022,8,3,Medium,Medium,0.74,1,0
Reduced Motivating Analyzer,2023-07-18,2024-07-16,76849.0,4.9,Webinar,B2C,Promotion,0.45,453670.5,376821.5,2023,7,3,High,Low,0.38,1,1
Focused Empowering Capacity,2023-05-04,2024-05-23,74278.5,10.62,Social Media,B2B,Promotion,0.12,863407.86,789129.36,2023,5,2,High,Very Low,0.72,1,1
Front-Line Multi-Tasking Moderator,2023-01-09,2024-04-18,21674.14,41.33,Podcast,B2B,Promotion,0.65,917565.26,895891.12,2023,1,1,High,Medium,0.04,0,1
Realigned 24/7 Hub,2022-09-21,2024-05-23,72864.67,3.95,Social Media,B2C,Referral,0.7,360392.7,287528.03,2022,9,3,High,Medium,0.29,1,1
De-Engineered 6Thgeneration Parallelism,2023-01-29,2024-07-12,47218.62,18.73,Podcast,B2B,Referral,0.96,931639.51,884420.89,2023,1,1,High,High,0.05,1,1
Mandatory 3Rdgeneration Matrices,2023-07-02,2023-10-28,29709.16,26.33,Social Media,B2C,Referral,0.12,811850.37,782141.21,2023,7,3,High,Very Low,0.3,0,1
Compatible Full-Range Toolset,2023-01-23,2023-08-07,55196.85,9.16,Podcast,B2B,Promotion,0.4,561046.37,505849.52,2023,1,1,High,Low,0.25,1,1
Switchable 3Rdgeneration Projection,2023-07-01,2023-12-07,72566.45,8.83,Podcast,B2C,Referral,0.33,713030.96,640464.51,2023,7,3,High,Low,0.31,1,1
Programmable Homogeneous Projection,2022-09-24,2023-11-12,11006.3,-0.67,Podcast,B2C,Promotion,0.98,3641.3,-7365.0,2022,9,3,Negative,High,3.08,0,0
Decentralized Contextually-Based Capability,2023-02-22,2024-06-09,9950.82,47.52,Webinar,B2C,Referral,0.5,482845.35,472894.53,2023,2,1,High,Low,0.04,0,1
Exclusive Next Generation Info-Mediaries,2023-03-26,2024-04-04,38117.82,14.76,Podcast,B2C,Promotion,0.4,600708.1,562590.28,2023,3,1,High,Low,0.16,0,1
Cloned Scalable Strategy,2022-09-01,2024-06-14,74720.7,9.36,Email,B2B,Paid,0.49,774366.5,699645.8,2022,9,3,High,Low,0.2,1,1
Public-Key Full-Range Matrices,2023-07-16,2023-09-03,37221.22,17.31,Email,B2C,Organic,0.1,681365.12,644143.9,2023,7,3,High,Very Low,0.55,0,1
Multi-Layered Methodical Structure,2022-09-29,2024-05-03,33682.83,4.63,Social Media,B2C,Referral,0.25,189755.91,156073.08,2022,9,3,High,Low,0.71,0,1
Organic Holistic Graphical User Interface,2023-07-05,2023-12-03,1810.82,148.37,Email,B2C,Promotion,0.87,270481.39,268670.57,2023,7,3,High,High,0.01,0,1
Multi-Channeled Upward-Trending Instruction Set,2023-02-28,2024-03-06,29840.15,20.16,Webinar,B2B,Organic,0.78,631347.68,601507.53,2023,2,1,High,Medium,0.06,0,1
Managed Even-Keeled Internet Solution,2023-03-09,2024-01-12,81342.1,3.45,Email,B2C,Promotion,0.91,362030.2,280688.1,2023,3,1,High,High,0.25,1,1
Customer-Focused Systemic Capability,2023-01-01,2024-04-01,96731.22,6.76,Social Media,B2B,Organic,0.8,750903.16,654171.94,2023,1,1,High,Medium,0.16,1,1
Inverse Non-Volatile Superstructure,2022-08-06,2023-12-13,27329.38,30.97,Email,B2B,Organic,0.6,873619.99,846290.61,2022,8,3,High,Medium,0.05,0,1
Multi-Lateral Needs-Based Collaboration,2022-09-23,2024-01-25,21718.66,37.61,Social Media,B2C,Organic,0.65,838552.42,816833.76,2022,9,3,High,Medium,0.04,0,1
Ergonomic Empowering Attitude,2023-04-26,2024-01-12,80659.67,5.63,Email,B2C,Promotion,0.7,534572.47,453912.8,2023,4,2,High,Medium,0.22,1,1
Switchable Secondary Hierarchy,2023-04-29,2023-11-18,95913.4,5.8,Email,B2B,Promotion,0.91,651889.94,555976.54,2023,4,2,High,High,0.16,1,1
Ameliorated Bi-Directional Graphic Interface,2023-05-07,2023-11-21,34910.16,16.56,Podcast,B2C,Referral,0.97,613092.25,578182.09,2023,5,2,High,High,0.06,0,1
Secured Attitude-Oriented Info-Mediaries,2022-11-14,2023-10-11,51394.97,15.38,Email,B2B,Paid,0.41,841615.61,790220.64,2022,11,4,High,Low,0.15,1,1
Enterprise-Wide Bandwidth-Monitored Toolset,2022-08-17,2024-04-21,27577.78,23.14,Podcast,B2B,Paid,0.4,665815.39,638237.61,2022,8,3,High,Low,0.1,0,1
Compatible Mobile Open System,2023-03-03,2024-05-29,31618.12,13.4,Webinar,B2C,Paid,0.87,455453.72,423835.6,2023,3,1,High,High,0.08,0,1
Vision-Oriented Object-Oriented Structure,2023-04-30,2024-03-24,84055.7,2.6,Email,B2C,Referral,0.85,302692.25,218636.55,2023,4,2,High,High,0.33,1,1
Re-Engineered Holistic Data-Warehouse,2022-10-03,2024-05-09,28051.5,12.37,Podcast,B2C,Referral,0.36,374910.63,346859.13,2022,10,4,High,Low,0.21,0,1
Multi-Channeled Reciprocal Utilization,2022-08-21,2024-07-10,16470.61,31.42,Social Media,B2B,Organic,0.7,533910.94,517440.33,2022,8,3,High,Medium,0.04,0,1
Object-Based Discrete Strategy,2023-07-22,2023-10-20,39241.75,5.43,Podcast,B2B,Referral,0.59,252287.84,213046.09,2023,7,3,High,Medium,0.26,0,1
Customizable Human-Resource Monitoring,2023-03-20,2023-12-06,54166.71,12.58,Webinar,B2B,Paid,0.15,735390.8,681224.09,2023,3,1,High,Very Low,0.49,1,1
Synergized Actuating Policy,2023-04-07,2024-06-20,40958.7,21.49,Podcast,B2B,Promotion,0.39,921182.15,880223.45,2023,4,2,High,Low,0.11,0,1
Versatile Object-Oriented Access,2023-06-21,2024-02-21,21009.79,14.33,Podcast,B2B,Referral,0.54,321994.2,300984.41,2023,6,2,High,Medium,0.12,0,1
De-Engineered 24/7 Archive,2023-06-15,2024-01-31,23099.8,16.18,Social Media,B2C,Paid,0.98,396851.15,373751.35,2023,6,2,High,High,0.06,0,1
Profit-Focused Multimedia Concept,2022-09-20,2023-11-04,33618.7,24.83,Webinar,B2C,Paid,0.8,868303.57,834684.87,2022,9,3,High,Medium,0.05,0,1
Vision-Oriented Transitional Process Improvement,2023-06-27,2023-11-26,55436.7,13.19,Podcast,B2B,Organic,0.99,786705.7,731269.0,2023,6,2,High,High,0.07,1,1
Pre-Emptive Mission-Critical Knowledge User,2023-03-08,2024-06-28,73916.74,2.15,Webinar,B2B,Promotion,0.69,232695.36,158778.62,2023,3,1,High,Medium,0.46,1,1
Cross-Group Object-Oriented Moderator,2022-08-27,2023-11-18,66331.63,12.82,Podcast,B2C,Promotion,0.4,916634.12,850302.49,2022,8,3,High,Low,0.18,1,1
Grass-Roots Eco-Centric Strategy,2022-10-22,2023-10-25,39767.24,9.22,Email,B2B,Paid,0.33,406566.2,366798.96,2022,10,4,High,Low,0.3,0,1
Customizable Global Hierarchy,2023-04-26,2023-10-12,86716.38,-0.2,Email,B2B,Paid,0.95,69360.86,-17355.52,2023,4,2,Negative,High,1.32,1,0
Future-Proofed Uniform Alliance,2023-03-22,2024-06-14,69474.96,0.24,Email,B2B,Organic,0.7,86176.18,16701.22,2023,3,1,Low,Medium,1.15,1,0
Balanced Asynchronous Contingency,2022-10-31,2024-04-07,7952.69,96.11,Social Media,B2C,Promotion,0.14,772286.49,764333.8,2022,10,4,High,Very Low,0.07,0,1
Robust Disintermediate Neural-Net,2023-04-17,2023-11-15,92395.78,9.28,Social Media,B2C,Organic,0.31,949696.65,857300.87,2023,4,2,High,Low,0.31,1,1
Multi-Lateral Dynamic Encryption,2023-04-21,2024-01-04,76016.6,9.64,Social Media,B2B,Promotion,0.38,809123.64,733107.04,2023,4,2,High,Low,0.25,1,1
Customer-Focused Human-Resource Algorithm,2022-12-15,2024-03-07,32965.35,24.44,Email,B2C,Referral,0.77,838474.56,805509.21,2022,12,4,High,Medium,0.05,0,1
Re-Contextualized Zero-Defect Artificial Intelligence,2023-04-13,2024-04-02,99120.34,1.29,Webinar,B2B,Referral,0.67,227398.12,128277.78,2023,4,2,High,Medium,0.65,1,1
Decentralized System-Worthy Neural-Net,2023-01-24,2023-10-25,65906.93,7.24,Email,B2B,Promotion,0.9,543317.45,477410.52,2023,1,1,High,High,0.13,1,1
Reduced Content-Based Graphic Interface,2022-10-26,2024-03-03,16945.29,51.21,Social Media,B2C,Referral,0.76,884669.86,867724.57,2022,10,4,High,Medium,0.03,0,1
De-Engineered Non-Volatile Hardware,2023-02-10,2024-02-14,41041.24,8.6,Email,B2C,Organic,0.51,394039.86,352998.62,2023,2,1,High,Medium,0.2,0,1
Intuitive System-Worthy Interface,2022-12-28,2024-06-28,44445.2,5.77,Webinar,B2C,Referral,0.39,300733.58,256288.38,2022,12,4,High,Low,0.38,0,1
Networked Systematic Budgetary Management,2023-02-13,2023-12-20,11742.47,56.25,Email,B2B,Organic,0.2,672241.21,660498.74,2023,2,1,High,Very Low,0.09,0,1
Open-Source Radical Extranet,2022-12-09,2023-09-22,68103.5,1.88,Email,B2B,Referral,0.56,196290.5,128187.0,2022,12,4,High,Medium,0.62,1,1
Monitored High-Level Contingency,2023-02-17,2023-10-10,26563.78,31.51,Social Media,B2B,Paid,0.32,863720.51,837156.73,2023,2,1,High,Low,0.1,0,1
Switchable Actuating Encryption,2022-11-25,2023-09-14,3104.48,112.57,Webinar,B2C,Referral,0.57,352571.87,349467.39,2022,11,4,High,Medium,0.02,0,1
Profit-Focused Actuating Open Architecture,2023-01-14,2024-03-30,1480.67,524.43,Social Media,B2C,Promotion,0.89,777983.15,776502.48,2023,1,1,High,High,0.0,0,1
Compatible 5Thgeneration Open Architecture,2023-06-27,2024-06-09,43263.23,5.57,Social Media,B2B,Paid,0.27,284363.38,241100.15,2023,6,2,High,Low,0.56,0,1
Business-Focused Systemic Policy,2022-08-21,2024-07-21,50643.73,11.45,Email,B2B,Organic,0.6,630320.3,579676.57,2022,8,3,High,Medium,0.13,1,1
Front-Line High-Level Encryption,2023-03-31,2023-09-10,30878.98,20.59,Podcast,B2B,Promotion,0.7,666756.8,635877.82,2023,3,1,High,Medium,0.07,0,1
Reduced Analyzing Moratorium,2023-05-12,2023-08-07,30319.57,29.57,Email,B2B,Promotion,0.19,926893.18,896573.61,2023,5,2,High,Very Low,0.17,0,1
Configurable Systematic Concept,2023-01-30,2023-12-03,89283.48,9.16,Email,B2B,Referral,0.67,907297.81,818014.33,2023,1,1,High,Medium,0.15,1,1
Versatile Actuating Synergy,2023-01-03,2024-01-28,64733.0,13.37,Email,B2B,Referral,0.75,930401.42,865668.42,2023,1,1,High,Medium,0.09,1,1
Mandatory Neutral Ability,2023-03-22,2024-06-17,1635.98,75.73,Email,B2B,Organic,0.9,125526.72,123890.74,2023,3,1,High,High,0.01,0,1
Re-Contextualized Clear-Thinking Matrix,2022-12-17,2024-02-15,11395.3,64.1,Social Media,B2B,Promotion,0.88,741815.81,730420.51,2022,12,4,High,High,0.02,0,1
